1:Aballay, Alejandro
968:Oren, Ram
969:Palmroth, Sari
970:Di Giulio, Richard T.
971:Vengosh, Avner
972:Hsu-Kim, Heileen
973:Richardson, Curtis J.
974:Fay, John Patrick
975:Gunsch, Claudia K.
976:Meyer, Joel
977:Hunt, Dana E.
978:Bernstein, Fernando
979:Kok, A. Gurhan
980:Beskow, Laura Mari
981:Holditch-Davis, Diane L.
982:Jackson, George Lee
983:Bettman, James R.
984:Fitzsimons, Gavan J.
985:Payne, John W.
986:Ubel, Peter A
987:Richard, Michael Jason
988:Kaylie, David Marcus
989:Ready, Neal Edward
990:Mahmoud, Tamer Hamdy
991:Gururangan, Sridharan
992:Peters, Katherine Barnett
993:He, Yiping
994:Rasheed, B. K. Ahmed
995:Vo-Dinh, Tuan
996:Nicchitta, Christopher Vincent
997:Black, Sherilynn
998:Dzirasa, Kafui
999:Szabo, Steven
1000:Hartman, Zachary Conrad
1001:Clary, Bryan Marshall
1002:McCann, Richard L.
1003:Pappas, Theodore N.
1004:Scarborough, John Emerson
1005:White, Rebekah Ruth
1006:Lagoo-Deenadayalan, Sandhya Anand
1007:Willett, Christopher G.
1008:Zani Jr., Sabino
1009:Strickler, John
1010:Perez, Alexander
1011:Wu, Li-Tzy
1012:Burchett, Bruce Myatt
1013:Hybels, Celia F.
1014:Li, Ting-Kai
1015:James, Sherman A.
1016:Fillenbaum, Gerda G.
1017:Mannelli, Paolo
1018:Swartz, Marvin Stanley
1019:Zeng, Yi
1020:Kinghorn, Warren A.
1021:Blazing, Michael August
1022:Silva, Susan Gray
1023:Varia, Indira Mahesh
1024:Blitzblau, Rachel Catherine
1025:Gockerman, Jon Paul
1026:Datto, Michael Bradley
1027:Riedel, Richard Francis
1028:Vlahovic, Gordana
1029:Hanks, Brent Allen
1030:Blood-Siegfried, Jane Elizabeth
1031:Bloomfield, Gerald
1032:Waugh, Robert Andrew
1033:Finkelstein, Eric Andrew
1034:Limkakeng Jr., Alexander Tan
1035:Lynch, Catherine Ann
1036:Blum, Volker
1037:Potter, Guy Glenn
1038:Boadu, Fred K.
1039:Bobrowski, Omer
1040:Boehlke, Christopher Stephen
1041:Muhlbaier, Lawrence H.
1042:Boggess, Blake Reid
1043:Bytomski, Jeffrey Ryszard
1044:Miller Jr., Michael Joseph
1045:Bollerslev, Tim
1046:Tauchen, George E.
1047:Orlando, Lori Ann
1048:Urbaniak, James Randolph
1049:Mather, Richard Charles
1050:Moorman III, Claude Thurman
1051:Olson, Steven Arthur
1052:Zura, Robert Douglas
1053:Kwatra, Madan Mohan
1054:Moon, Richard Edward
1055:Rivelli, Sarah K.
1056:Young, Christopher Carlo
1057:Marks, David Morris
1058:Bonaventura, Celia J.
1059:Crumbliss, Alvin L.
1060:Bonaventura, Joseph
1061:Criscione-Schreiber, Lisa Giorgina
1062:Bookman, Jack
1063:McGann, Kathleen Anne
1064:Narayan, Aditee Pradhan
1065:Borawski, Joseph Brian
1066:Gerardo, Charles John
1067:Hocker, Michael Brian
1068:Villani, John Joseph
1069:Bordelon, Anna Hong
1070:Kim, Terry
1071:Bordley, William Clayton
1072:Borel III, Cecil Orm
1073:Guinn, Nicole Renee
1074:McDonagh, David Lawrence
1075:Keifer, John Conlon
1076:Borges-Neto, Salvador
1077:James, Olga Gennadyevna
1078:Fiuzat, Mona
1079:Phillips III, Harry Rissler
1080:Borst, Alexandra Jane
1081:Sebastian, Siby Nil
1082:Hulette, Christine Marie
1083:Van Houtven, Courtney Harold
1084:Wang, Virginia
1085:Crowley, Matthew Janik
1086:Peterson, Matthew John
1087:Shaw, Ryan
1088:Johnson, Constance Margaret
1089:Lipkus, Isaac Marcelo
1090:Bowlby, Lynn Anne
1091:Trujillo, Gloria Marie
1092:Goldstein, Karen
1093:Rakley, Susan Merle
1094:Pereira, Katherine Colligan
1095:Bottiger, Brandi Anne
1096:Boudreau, Alan E.
1097:Boulding, William F.
1098:Staelin, Richard
1099:Boulware, L. Ebony
1100:Toth, Cynthia Ann
1101:Bowles, Dawn Elizabeth
1102:Schroder, Jacob Niall
1103:Kontos, Christopher Dale
1104:Bowman, Rachel A
1105:Boyce, Michael Scott
1106:Boyer, Douglas Martin
1107:Daubechies, Ingrid
1108:Bradford, Daniel William
1109:Kilts, Jason David
1110:Naylor, Jennifer C.
1111:Braxton, Loretta Elaine
1112:Zinn, Sandra Denise
1113:Strauman, Timothy J.
1114:Swanson, Jeffrey W.
1115:Bradley, Deborah Ann
1116:Inman, Brant Allen
1117:Bradrick, Shelton
1118:Bradshaw, Wanda Todd
1119:Brady, David J.
1120:Marks, Daniel L.
1121:Gehm, Michael
1122:Kim, Jungsang
1123:Schmidler, Scott C.
1124:Willett, Rebecca
1125:Kapadia, Anuj J
1126:Carin, Lawrence
1127:Smith, David R.
1128:Liao, Xuejun
1129:Sapiro, Guillermo
1130:Tornai, Martin Paul
1131:Branch, Malcolm Stanley
1132:Jowell, Paul Simon
1133:Liddle, Rodger Alan
1134:Obando, Jorge Valdemar
1135:Poleski, Martin Henry
1136:Pabon-Ramos, Waleska Michelle
1137:Burbridge, Rebecca Ann
1138:Omotosho, Philip Ayodeji
1139:Curry, John F.
1140:Malcolm, William Ferris
1141:Turner, Barbara Swope
1142:Levy, Janet Anne
1143:Hawks, Sharon Jeanette
1144:Powell, Dorothy Lewis
1145:Taicher, Brad Matthew
1146:Brandon, Robert N.
1147:McShea, Daniel W.
1148:Brands, Hal
1149:Brandt, Michael W.
1150:Brannon, Elizabeth M.
1151:Platt, Michael Louis
1152:Drea, Christine M.
1153:Hare, Brian
1154:Nunn, Charles L
1155:Brav, Alon
1156:Bray, Hubert
1157:Brennan, Richard Gerald
1158:Schumacher, Maria Anne
1159:Guan, Ziqiang
1160:Collins, Bradley Henry
1161:Hollenbeck, Scott Thomas
1162:Ravindra, Kadiyala Venkata
1163:Sudan, Debra L
1164:Sushama, Deepak Vikraman
1165:Huang, Xiaopei
1166:Patel, Keyur
1167:Bretherton, Luke Michael
1168:Heilbron, Nicole Sara
1169:Brigman, Brian Eugene
1170:Erdmann, Detlev
1171:Eward, William Curtis
1172:Levinson, Howard
1173:Richard, Marc Joseph
1174:Harrelson, John Miles
1175:Larrier, Nicole A.
1176:Dunphy II, Frank Russell
1177:Esclamado, Ramon Mitra
1178:Scher, Richard Lyle
1179:Wu, Qingrong
1180:Cohen, Seth Morris
1181:Fisher, Samuel Rankin
1182:Lee, Walter T
1183:Puscas, Liana
1184:Witsell, David Latham
1185:Roy Choudhury, Kingshuk
1186:Broach, Amy Nicole
1187:Broder, Joshua Seth
1188:Brooke, Martin A.
1189:Jokerst, Nan Marie
1190:Palmer, Gregory M.
1191:Brooks, Kelli Rachel
1192:Shapiro, Mark Louis
1193:Broverman, Sherryl A.
1194:Puffer, Eve Sullivan
1195:Meade, Christina S.
1196:Sikkema, Kathleen J.
1197:Watt, Melissa
1198:Brown, April S.
1199:Collins, Leslie M.
1200:Fischer, Martin
1201:Warren, Warren S.
1202:Chen, Jun
1203:Fitch, Robert Douglas
1204:Owens, Thomas Andrew
1205:Lark, Robert
1206:Thacker, Julie K. Marosky
1207:Brown, David B.
1208:Smith, James E.
1209:Chireau, Monique V.
1210:Plassman, Brenda Lee
1211:Petrella, Jeffrey Robert
1212:Brownell, Kelly D.
1213:Brudney, Charles Scott
1214:Gagliardi, Jane Patricia
1215:Kaddurah-Daouk, Rima Fathi
1216:Buchanan, Ann Marie
1217:Buchheit, Thomas Edward
1218:Pyati, Srinivas
1219:Van de Ven, Thomas John
1220:Buchler, Nicolas
1221:You, Lingchong
1222:Crowley, Steven Daniel
1223:Dolber, Paul Christian
1224:Sparks, Matthew A.
1225:Buckley, Edward George
1226:Prakalapakorn, Sasapin Grace
1227:Mruthyunjaya, Prithvi
1228:Vajzovic, Lejla
1229:Crow, Jennifer H
1230:Buckley, Rebecca Hatcher
1231:Sarzotti-Kelsoe, Marcella
1232:Hershfield, Michael Steven
1233:Roberts, Joseph Linton
1234:Zhong, Xiaoping
1235:Devlin, Blythe Hazlehurst
1236:Markert, Mary Louise
1237:Parikh, Suhag H.
1238:Bugni, Federico
1239:Buhr, Gwendolen Toni
1240:White, Heidi Kay
1241:Heflin, Mitchell Tod
1242:Yanamadala, Mamata
1243:Twersky, Jack Isaac
1244:Cutson, Toni Michele
1245:Lyles, Kenneth Ward
1246:Burch Jr., Warner Miller
1247:Pietrobon, Ricardo Santos
1248:Burnett, Bruce Kendall
1249:Niedzwiecki, Donna
1250:Burns, Barbara Jean
1251:March, John S.
1252:Wells, Karen Cameron
1253:Burnside, A. Craig
1254:Satterwhite, Lisa L
1255:Wax, Adam P.
1256:Pitt, Geoffrey Stuart
1257:Puranam, Ram Sharma
1258:Rosenberg, Paul Brian
1259:Hutson, Mary Redmond
1260:Yen, Paul Michael
1261:Burt, Tal
1262:Burton III, Claude Shreve
1263:Burton, Linda
1264:Burton, Richard M.
1265:Mitchell, William G.
1266:Buthe, Tim
1267:Butler, Megan Williston
1268:Garrett Jr., William Elwood
1269:Butterly, David William
1270:Tu, Priscilla
1271:Cabeza, Roberto
1272:Madden, David Joseph
1273:Marsh, Elizabeth J.
1274:Segars, William Paul
1275:O'Daniel, Jennifer Colleen
1276:Cui, Yunfeng
1277:Calakos, Nicole
1278:West, Anne Elizabeth
1279:Wetsel, William Christopher
1280:Calderbank, Robert
1281:Sorin, Daniel J.
1282:Caldwell, Bruce J.
1283:Udayakumar, Krishnakumar
1284:Christopher, Eric James
1285:Wagner, Galen Strohm
1286:Neelon, Brian Hugh
1287:Campbell, Douglas
1288:Campbell, Lisa
1289:Carboni, Michael Paul
1290:Candogan, Utku Ozan
1291:Cant, Nell Beatty
1292:Capel, Blanche
1293:Greenfield, Ruth Ann
1294:Cardenas-Corona, Maria Elena
1295:Heitman, Joseph
1296:Pastva, Amy Martha
1297:Counter, Christopher M.
1298:Gurley, Susan Bailey
1299:Feiler, Michael Justin
1300:Gellad, Ziad Fouad
1301:Wolf, Andrew Ira
1302:Cardones, Adela Rambi Guanco
1303:Salazar Gonzales, Esther
1304:Carlson, Alan Neil
1305:DelMonte, Derek Wills
1306:Carman, Margaret J
1307:Turner, Kathleen Marie
1308:Sabol, Valerie Kay
1309:Carnes, Nicholas W.
1310:Nicholls, Peter Jeff
1311:Zhang, Xiaodong
1312:Premont, Richard Thomas
1313:Meck, Warren H.
1314:Nicolelis, Miguel Angelo L.
1315:Carter, Brigit Maria
1316:Cary, Michael Paul
1317:Spiridigliozzi, Gail A.
1318:Casey, Patrick John
1319:Moss, Jennifer Barnett
1320:Odgers, Candice L.
1321:Hariri, Ahmad
1322:Cassar, Nicolas
1323:Cassidy, Frederick
1324:Wilson, William Herman
1325:Cetinkaya-Rundel, Mine
1326:Chakrabarty, Krishnendu
1327:Choudhury, Romit Roy
1328:Fair, Richard B.
1329:Gonzalez, Pedro
1330:Rao, Ponugoti Vasantha
1331:Vann, Robin Raul
1332:Mettu, Priyatham S
1333:Chameides, William
1334:Pickett, Lisa Clark
1335:Vorderstrasse, Allison Amend
1336:Hueckel, Remi M
1337:Muckler, Virginia Chris
1338:Sanders, Edward Garner
1339:Vacchiano, Charles Andrew
1340:Relf, Michael Vernon
1341:Chan, Chi Wei Cliburn
1342:West, Michael
1343:Chandrasekharan, Shailesh
1344:Chandrasekharan, Subhashini
1345:Cook-Deegan, Robert M.
1346:Chang, Albert M.
1347:Chang, Ching-yi
1348:McDonnell, Donald Patrick
1349:Rathmell, Jeffrey Charles
1350:Shinohara, Mari L.
1351:Chen, Jun
1352:Yoshizumi, Terry Takatoshi
1353:Tuchman, Sascha Alexander
1354:Chen, Dongfeng
1355:Prasad, Vinod K.
1356:Doan, Phuong Linh
1357:Kurtzberg, Joanne
1358:He, You-Wen
1359:Li, Qi-Jing
1360:Chappel, James Gregory
1361:Charbonneau, Patrick
1362:Wiley, Benjamin J.
1363:Charles, Hal Cecil
1364:Charney, Evan
1365:Chartrand, Tanya L.
1366:Shah, James
1367:Chase, Jeffrey S.
1368:Schmit, Kristine Marie
1369:Chatterji, Aaron
1370:Chaves, Mark Alan
1371:Govert, Joseph Alan
1372:Ofori-Amanfo, George
1373:Chen, Chin Ho
1374:Huang, Li
1375:Chen, Chuan-Hua
1376:Pavlisko, Elizabeth N
1377:Chen, Enn-Ling
1378:Hoffman, Brenton D.
1379:Chen, Li Juan
1380:Hazen, Kevin C
1381:Chen, Meng
1382:Chen, Nan-kuei
1383:Song, Allen Wuming
1384:Truong, Trong-Kha
1385:Greeson, Jeffrey Michael
1386:Chen, Qi
1387:Cheng, Qing
1388:Haystead, Timothy Arthur James
1389:Chia, Jessica Yue-Ling
1390:Chiang, Ambrose An-Po
1391:Leggett, Melanie K.
1392:Guyton, John Richard
1393:Chilkoti, Ashutosh
1394:Cook, J Michael
1395:Urzhumov, Yaroslav A.
1396:Hinton, David E.
1397:Needham, David
1398:Lopez, Gabriel P.
1399:McCafferty, Dewey G.
1400:Chilukuri, Vani Rao
1401:Chin, Bennett B.
1402:Vaidyanathan, Ganesan
1403:White, Leonard Edward
1404:Worni, Mathias
1405:Sporn, Thomas Arthur
1406:Chitneni, Satish K.
1407:Cho, Alex Han
1408:Haga, Susanne B.
1409:Joy, Scott Victor
1410:Garman, Katherine Schuver
1411:DeRuyter, Frank
1412:Chow, Rey
1413:Jung, Sin-Ho
1414:Mangum, Oscar Barry
1415:Noveck, Robert Joseph
1416:Chrisman, Allan Krekeler
1417:Sapyta, Jeffrey J.
1418:Dew, Rachel E
1419:Crawford, Jeffrey
1420:Stevenson, Marvaretta Miesha
1421:Wahidi, Momen Mohammed
1422:Christensen, Norman L.
1423:Edwards, Pamela Ballance
1424:Chudgar, Saumil Mahendra
1425:Chung, Richard Joonoh
1426:Maslow, Gary Ross
1427:Churchill, Steven E.
1428:Mirotsou, Maria
1429:Cianciolo, George James
1430:Ciofani, Maria
1431:Willis, John H.
1432:Vilgalys, Rytas J.
1433:Domec, Jean  Christophe
1434:Mantyh, Christopher Ritchie
1435:Freedman, Jennifer
1436:Shortell, Cynthia Keene
1437:Migaly, John
1438:Ferranti, Jeffrey Michael
1439:Clemen, Robert T.
1440:Clements III, Dennis Alfred
1441:Neelon, Sara Elizabeth
1442:Clotfelter, Charles T.
1443:Ladd, Helen F.
1444:Muschkin, Clara G.
1445:Serafini, Sandra
1446:Cocks, F. Hadley
1447:Simmons, Walter Neal
1448:Lipkin, Michael Eric
1449:Preminger, Glenn Michael
1450:Zhong, Pei
1451:Coers, Jorn
1452:Valdivia, Raphael H.
1453:Van Mater, Heather Ann
1454:Hargett III, Charles William
1455:Kraft, Bryan David
1456:Fisher, Deborah Anne
1457:Coffman, Thomas Myron
1458:Lehrich, Ruediger Wilhelm
1459:Spurney, Robert Frank
1460:Coggins, Brian Edward
1461:Zhou, Pei
1462:Hastings, Susan Nicole
1463:Johnson, Kimberly Sherell
1464:Cousins, Scott William
1465:Whitaker, Diane Beasley
1466:Rao, Arati Vasanth
1467:Robins, Clive Justin
1468:Coleman, Doriane Lambelet
1469:Rosoff, Philip Martin
1470:Coleman, Wilbur John
1471:Collins, Timothy Alan
1472:Huh, Billy Keon
1473:Weber, Thomas Joseph
1474:Weber, Thomas Joseph
1475:Lee, Richard Hsang-Young
1476:Colsher, James George
1477:Colton, Carol Anne
1478:Comer, Denise K.
1479:Compton, Jill Serafin
1480:Compton, Scott Nathan
1481:Conitzer, Vincent
1482:Taylor, Curtis R.
1483:Conrad, Robert F.
1484:Cook, Jonathan Lambert
1485:Cook, Philip J.
1486:Cook, Sarah
1487:Cooper, Harris M.
1488:Copeland, Joyce A.
1489:Halstater, Brian Hugh
1490:Martinez-Bianchi, Viviana Sandra
1491:Michener, James Lloyd
1492:Sheline, Barbara LaTowsky
1493:Tran, Anh Nhat
1494:Weigle, Nancy Jean
1495:Hull, Sharon Kay
1496:Kaprielian, Victoria Susan
1497:Koo, Denise Tze-wen
1498:Tilson, Hugh Hanna
1499:Corless, Joseph M.
1500:Costanzo, Philip R.
1501:Grimes, Christina
1502:Putallaz, Martha
1503:Sloan, Frank A.
1504:Cothran Jr., Roger Lee
1505:Gustafson, Kathryn E.
1506:Crouchley, Jillian Leigh
1507:Foreman, John William
1508:Thiele, Dennis James
1509:MacAlpine, David Michael
1510:Hahn, Paul
1511:Lad, Eleonora Georgeta
1512:Malek, Goldis
1513:Moretti, Eugene William
1514:Holland, David Preston
1515:Naggie, Susanna
1516:Cox, Landon P.
1517:Cox, Mitchell Wayne
1518:Mureebe, Leila
1519:Song, Haijun
1520:Joines, William T.
1521:Maccarini, Paolo F
1522:Craig, Anna Elizabeth
1523:Crawford, Gregory E.
1524:Reddy, Timothy E
1525:Willard, Huntington Faxon
1526:Gersbach, Charles
1527:Hartemink, Alexander J.
1528:Salama, Joseph Kamel
1529:Wang, Xiaofei
1530:Crawford, Regina Denise
1531:Feliu, Miriam Helen
1532:Middleton, John Paul
1533:Hong, Jiyong
1534:Fitzgerald, Michael C.
1535:Cullen, Bryan Richard
1536:Luftig, Micah Alan
1537:Cummer, Steven A.
1538:Cummings, Jonathon
1539:Foo, Wen Chi
1540:Proia, Alan David
1541:Woodward, Julie Ann
1542:Muh, Carrie Rebecca
1543:Cunningham III, Calhoun Dove
1544:Cunningham, Clifford W.
1545:Van Dover, Cindy
1546:Terborgh, John W.
1547:Curlin, Farr A
1548:Mauro, Christian F.
1549:Curtarolo, Stefano
1550:Scales Jr., Charles Douglas
1551:Wiener, John Samuel
1552:Peterson, Andrew Charles
1553:Ellestad, Sarah Catherine
1554:Daley, Brendan
1555:Dalvi, Samir R
1556:Meltzer, Eric Barrie
1557:Wolfe, Walter George
1558:Darcey, Dennis J.
1559:Darity Jr., William A.
1560:Langdon, Scott Douglas
1561:Dash, Rajesh Chandra
1562:Friedman, Daphne Ruth
1563:Weinberg, Joe Brice
1564:Stoecker, Maggie Marie
1565:LU, JIANFENG
1566:Daubert, Melissa Anne
1567:Lugar, Patricia Lynne
1568:Shofer, Scott Leigh
1569:Davis, Linda Lindsey
1570:Davis, Naomi O.
1571:Dawson, Hana Nenicka
1572:Kolls, Bradley Jason
1573:De Bellis, Michael Damingo
1574:Gallentine, William Brian
1575:Mikati, Mohamad Abdul
1576:Rothman, Jennifer Ann
1577:Zennadi, Rahima
1578:Tanabe, Paula J
1579:De Gagne, Jennie
1580:Deak, Kristen Lee
1581:Horn, Sarah Rapisardo
1582:Dear, Keith Brian Gordon
1583:DeFrantz, Thomas
1584:DeFrate, Louis Edwin
1585:Spritzer, Charles Edward
1586:Taylor, Dean Curtis
1587:Little, Dianne
1588:Lee, Jaewoo
1589:DeLong, Elizabeth Ray
1590:Dement, John McCray
1591:Epling, Carol Ann
1592:Lipscomb, Hester Johnstone
1593:Myers, Douglas Joseph
1594:Schoenfisch, Ashley Land
1595:Denardo, Scott Jeffrey
1596:Tcheng, James Enlou
1597:Rodrigo, Allen G
1598:Derbyshire, Emily Rose
1599:Derouin, Anne Lynn
1600:Desai, Preyas S.
1601:Purohit, Devavrat
1602:Deshusses, Marc
1603:Hochman, Daryl William
1604:Shan, Siqing
1605:Vollmer, Robin Tutt
1606:Li, Chuan-Yuan
1607:Kornbluth, Sally A.
1608:Stapleton, Heather M.
1609:Rittschof, Daniel
1610:DiBernardo, Louis Robert
1611:Manson, Roberto Jose
1612:Provenzale, Dawn Tranchino
1613:Petes, Thomas Douglas
1614:Dikolli, Shane S.
1615:Mayew, William J.
1616:Dobbins III, James T.
1617:Ravin, Carl Eric
1618:Nolte, Loren W.
1619:Godfrey, Devon James
1620:Lansford, Jennifer
1621:Dolbow, John Everett
1622:Laursen, Tod A.
1623:Wolever, Ruth Quillian
1624:Dombrowski, Keith
1625:Donahue, Mark Paul
1626:Richardson, David C.
1627:Richardson, Jane Shelby
1628:Mooney, Richard Daniel
1629:Dong, Xinnian
1630:Donohue, Kathleen
1631:Doolette, David John
1632:Dorfman, Ariel
1633:Simel, David Lee
1634:Khouri, Michel Georges
1635:Dowell, Earl H.
1636:Mann, Brian
1637:Thomas, Jeffrey P.
1638:Hall, Kenneth C.
1639:Dressman, Holly Kloos
1640:Koh, James
1641:Page-Chartrand, Kristin Marie
1642:Mahmood, Kamran
1643:Tokdar, Surya
1644:George, Linda K.
1645:Vaupel, James Walton
1646:Durrett, Richard Timothy
1647:Socolar, Joshua
1648:Dvergsten, Jeffrey Arthur
1649:Dwyer, Christopher
1650:Lebeck, Alvin R.
1651:Dyreng, Scott D.
1652:Merson, Michael H.
1653:Zhang, Zhiping
1654:Vinson, Emily Nicole
1655:Leithe, Linda Gray
1656:Echols, Melvin Ray
1657:Edwards, Glenn Steven
1658:Kiehart, Daniel P.
1659:Egner, Tobias
1660:Schmajuk, Nestor A.
1661:Heller, Katherine
1662:Peterchev, Angel Vladimirov
1663:Sommer, Marc A.
1664:Eisbach, Shelly Sue
1665:Miller, Timothy Ellis
1666:Eisner, Martin
1667:El Husseini, Nada Kais
1668:Goldstein, Larry Bruce
1669:Elbert-Avila, Katja Ingrid
1670:Jones, Christopher
1671:Kuo, Anthony Nanlin
1672:Endow, Sharyn Anne
1673:Engelhardt, Barbara
1674:Gordan, Raluca Mihaela
1675:Sopko, David Richard
1676:Zenn, Michael Robert
1677:Leversedge, Fraser
1678:Ruch, David Simms
1679:Osawa, Masaki
1680:Goldston, David Brian
1681:Schramm-Sapyta, Nicole Lewellyn
1682:Suarez, Edward Charles
1683:Tucci, Debara Lyn
1684:Woodard, Charles
1685:Freiberger, John Jacob
1686:Etkin, Jordan F
1687:Eucker, Stephanie Ann
1688:Everett, Christine M
1689:Farkas, Linda
1690:Schuman, Stefanie Gail
1691:Maradiaga Panayotti, Gabriela Muriel
1692:Jaffe, Glenn Jay
1693:Setji, Tracy Lynn
1694:Fekrat, Sharon
1695:Postel, Eric Attila
1696:Feld, Jody Ann
1697:Grotegut, Chad Aaron
1698:Leppert, Phyllis Carolyn
1699:Ferguson, P. Lee
1700:Seidler, Frederic J.
1701:Slotkin, Theodore Alan
1702:Ferrandino, Michael Nicolo
1703:Rampersaud Jr., Edward N
1704:McKellar, Mehri Sadri
1705:Pickup, David James
1706:Frothingham, Richard
1707:Ferrari, Silvia
1708:Henriquez, Craig S.
1709:VanDongen, Antonius M. J.
1710:Ferreira, Paulo Alexandre
1711:Field, Erica Marie
1712:Filomena, Carol Ann
1713:Fischer, Bernard Martin
1714:Sunday, Mary Elizabeth Anne
1715:Walker, Julia K.L.
1716:Greenberg, Joel Alter
1717:Fish, Laura Jane
1718:Garst, Jennifer Lynn
1719:Kelley, Michael John
1720:Haque, Mahfuzul
1721:Kay, Aaron Charles
1722:Flanagan Jr., Owen
1723:Kertai, Miklos David
1724:Ibarra Drendall, Catherine
1725:Stouder, April Loehmer
1726:Gbadegesin, Rasheed Adebayo
1727:Rabinovich, Consuelo Egla Diana
1728:Forman, Leslie M.
1729:Forte, Maurizio
1730:Forward, Richard B.
1731:Foster, Mary Helen
1732:Que, Loretta Georgina
1733:Zhou, Shutang
1734:Fox, Donald T
1735:Francis, Jennifer
1736:Olsson, Per
1737:Schipper, Katherine
1738:Frank, Michael M.
1739:Jiang, Haixiang
1740:Frankenberg, Elizabeth
1741:Thomas, Duncan
1742:Frank-Ito, Dennis Onyeka
1743:Franks, Kevin Michael
1744:Franz, Katherine J.
1745:Fras, Anne Marie
1746:Leary, Mark Richard
1747:Fraser, Matthew Oliver
1748:Frederick, Heather Jane
1749:Taekman, Jeffrey Marc
1750:Routh, Jonathan Charles
1751:Freedman, Neil Jonathan
1752:Zhang, Lisheng
1753:Vigna, Steven R.
1754:McGraw, Thomas Anthony
1755:Stolp, Bryant Walter
1756:Schneider, Susan Moeller
1757:Lee, Sunhee
1758:Fry, Brendan C
1759:Zucker, Nancy Lee
1760:Fulkerson, Mary M.
1761:Furtado, Gustavo PT
1762:Gaede, Jane Taylor
1763:McConkie-Rosell, Allyn
1764:McDonald, Marie Theresa
1765:Gaillard, Stephanie L
1766:Kansagra, Sujay Mansukhlal
1767:Lewis Jr., Darrell Vincent
1768:McNamara Sr., James O'Connell
1769:Sinha, Saurabh Ranjan
1770:Klein, Stephen Matthew
1771:Melton, M. Stephen
1772:MacLeod, David Brett
1773:Tucker, Marcy Schwartz
1774:Nielsen, Karen Cristina
1775:Gandhi, Parag D
1776:Gao, Haiyan
1777:Liu, Jian-Guo
1778:Howell, Calvin R.
1779:Hardaker Jr., William Thomas
1780:Garrigues, Grant Edward
1781:Venakides, Stephanos
1782:Gavin, Henri P.
1783:Reiter, Jerome P.
1784:Muir, Andrew Joseph
1785:George, Stephen L.
1786:McEvoy, Joseph Patrick
1787:Roggli, Victor Louis
1788:Ossmann, Eric William
1789:Gereffi, Gary
1790:Gervais, Simon
1791:Gesty-Palmer, Diane
1792:Getz, Jayce Robert
1793:Gheith, Jehanne
1794:Ginsberg, Brian
1795:Simmons, Leigh Ann
1796:Glander, Kenneth Earl
1797:Taylor, Andrea Beth
1798:Glass, Jeffrey
1799:Goknar, Erdag
1800:Gold, Deborah T.
1801:Goldberg, Joel Steven
1802:Golden, Jay
1803:Goldner, Richard Douglas
1804:Todd, Jamie Lynn
1805:He, Xiao-Ping
1806:Silver, Debra Lynn
1807:Yuan, Fan
1808:Reiman, Michael Patrick
1809:Gordon, David Charles
1810:Murray, Brian
1811:Grabowski, Henry G.
1812:Graham, John R.
1813:Harvey, Campbell R.
1814:Puri, Manju
1815:Grandl, Jorg
1816:Granek, Joshua Aaron
1817:Magwene, Paul Mitaari
1818:Mills, James Steven
1819:Grant, Augustus Oliver
1820:Gray, Alice Lee
1821:Green, Deanna Mae
1822:Greenberg, Arthur
1823:Greenblatt, Lawrence Howard
1824:Zipkin, Daniella Ann
1825:Greene, Nathaniel Howard
1826:Greenfield Jr., Joseph Cholmondeley
1827:Greenleaf, Arno Lee
1828:Greenup, Rachel Adams
1829:Mackey, Aimee Marlena
1830:Lausier, Evangeline R.
1831:Smoski, Moria Joy
1832:Nilsson Jr., Kent Ronald
1833:Groh, Jennifer M.
1834:Merwin, Rhonda M
1835:Roy, Lance Atlas
1836:Hsieh, Tao-shih
1837:Lee, Seok-Yong
1838:Liedtke, Wolfgang Bernhard
1839:Wang, Fan
1840:Lo, Donald Ching-Tze
1841:Yu, Yen-Rei Andrea
1842:Guo, Hongtao
1843:Gustafson, Michael
1844:Huettel, Lisa Gresham
1845:Nadeau, Joseph C.
1846:Schaad, David E.
1847:Rowell, Jennifer Voigt
1848:Gwyther, Lisa Pepper
1849:Haase, Steven B.
1850:Olufolabi, Adeyemi John
1851:Hadjioannou, Markos
1852:Haff, Peter K.
1853:Hahn, Carol Anne
1854:Hain, Richard
1855:Richter, Daniel D.
1856:Vandenberg, John
1857:Zhang, Yunyan
1858:Hall, Bruce S.
1859:Hall, William Charles
1860:Hallows, Rhett Kendall
1861:Halpin, Patrick N.
1862:Johnston, David William
1863:Nowacek, Douglas
1864:Urban, Dean L.
1865:Hammer, Gianna
1866:Hammond, Timothy Grant
1867:Hamoudi, Amar
1868:Jeuland, Marc A.
1869:Pattanayak, Subhrendu K.
1870:Hargrove, Amanda Elaine
1871:Hash II, Thomas Walter
1872:Ragsdale, Luna Chen
1873:Knaack, William R.
1874:Hays, Judith C.
1875:Haystead, Clare Mhairi
1876:Wang, Honggang
1877:Racioppi, Luigi
1878:Liton, Paloma Borrajo
1879:Heffernan, James Brendan
1880:Wang, Xiao-Fan
1881:Hench, James
1882:Henderson, Heather Tripp
1883:Matters, Loretta Mary
1884:Lombardi, Marilyn May
1885:Williams, Christina L.
1886:Hertzberg, Barbara Spector
1887:Hickey, Patrick Thomas
1888:Stacy, Mark Allen
1889:Hillygus, Dione Sunshine
1890:Hilton, Andrew Douglas
